antibody_id,virus_id,neut
VRC34-pI4,R3265_C6,0
VRC26.26,703010200_1E5,0
DH270min1,TH976_17,0
VRC34.07,92RW020_2,0
vFP16.02,QH209_14M_A2,0
O.4,Q23_17,0
VRC34-pI2,3988_25,0
VRC34.05,6405_V4_C34,0
PCIN71N1a,ZM135_10A,0
447-52D,16055_2_3,0
2408c.3,16936_2_21,0
GPZ6-a.01,3326_V4_C3,0
VRC-PG05,3326_V4_C3,0
1393A,CAP45_G3,0
VRC34-UCA,Q168_A2,0
PCT64-35C,RHPA4259_7,0
DF1W-a.02,CH038_12,0
6070-a.01,6545_V4_C1,0
N49P7,20915593,0
PCIN77D,231965_C1,0
PGT127,T257_31,0
E70,X1632_S2_B10,0
VRC33.01,DU422_1,0
CH02,CAAN5342,0
42056-a.01,X2088_C9,0
VRC33.01,ZM135_10A,0
PGT121,CH117_4,0
VRC42.I3,0077_V1_C16,0
VRC06b,247_23,0
VRC38.01,T255_34,0
41328-a.01,704809221_1B3,0
HERH-b.01,ZM197_7,0
CAP228-19F,CAP228_2_00_51J,0
DH650.8,6240_08_TA5_4622,0
VRC24,TV1_29,0
N6LS.C58,620345_C1,0
TRNM-b.01,MS208_A1,0
PC39-23C,92TH021,0
VRC42.I3,CAP210_E8,0
IOMA,KER2018_11,0
VRC38.01,6244_13_B5_4567,0
447-52D,T255_34,0
DFPH-a.15,ZM135_10A,0
PGT155,TRJO4551_58,0
VRC26.24,0260_V5_C36,0
2219,B039_ENV02,0
VRC26.26,WEAU_D15_410,0
b12,SC18_26,0
b13,16845_2_22,0
CH235,286_36,0
HERH-a.01,UG024_2,0
VRC42.I3,CNE58,0
DF1W-a.02,NKU3006_EC1,0
A12V163-a.01,MN_3,0
CH02,CNE8,0
m66,CNE40,0
VRC42.I3,3365_V2_C20,0
A12V163-a.02,T253_11,0
PC39-61A,ZM233_6,0
VRC38.09,CAAN5342,0
VRC26.04,Q461_E2,0
PGDM12,R3265_C6,0
ACS117,16845_2_22,0
VRC-PG05,211_9,0
VRC24,BG1168_1,0
VRC44.01,CNE55,0
DFPH-a.01,X1632_S2_B10,0
PC39-39A,CAP45_G3,0
PG16,ZM246F,0
PGT121,NAB13PRE_CL_9,0
PC39-28C,001428_2_42,0
